"Date","Aircraft_Type","Aircraft_Reg","Departure","Arrival","Off_Block","On_Block","Takeoff","Landing","Block_Time","Total_Time","Instrument_Time","Night_Time","PIC_Time","Student_Time","Instructor_Time","pic_name","Landings","Remarks","Cumulative_Total","Cumulative_PIC","Cumulative_Student","Cumulative_Instrument","Cumulative_SEP_Sea","Cumulative_Landings","Cumulative_Instructor"
"01/06/2021","C172","OH-CTL","Tuusulanjärvi","Tuusulanjärvi","18:13","19:34","","","1:21","1:21","","","1:21","","1:21","self","7","","787:31","637:23","150:08","65:08","201:40","1909","47:39"
"01/06/2021","C172","OH-CTL","Tuusulanjärvi","Tuusulanjärvi","17:16Z","18:30Z","","","1:14","1:14","","","1:14","","1:14","self","6","","788:45","638:37","150:08","65:08","202:54","1915","48:53"
"07/06/2021","C172","OH-CTL","Tuusulanjärvi","Tuusulanjärvi","17:29Z","18:30Z","","","1:01","1:01","","","1:01","","1:01","self","7","","789:46","639:38","150:08","65:08","203:55","1922","49:54"
"08/06/2021","C172","OH-CTL","Tuusulanjärvi","Tuusulanjärvi","12:42Z","13:32Z","","","0:50","0:50","","","0:50","","0:50","self","6","","790:36","640:28","150:08","65:08","204:45","1928","50:44"
"20/06/2021","P28A","OH-PDP","EFHV","EFLA","14:20Z","14:54Z","","","0:34","0:34","","","0:34","","","self","1","","791:10","641:02","150:08","65:08","204:45","1929","50:44"
"20/06/2021","P28A","OH-PDP","EFLA","EFHV","17:35Z","18:15Z","","","0:40","0:40","","","0:40","","","self","2","","791:50","641:42","150:08","65:08","204:45","1931","50:44"
"21/06/2021","C172","OH-CTL","Tuusulanjärvi","Tuusulanjärvi","16:45Z","17:55Z","","","1:10","1:10","","","1:10","","1:10","self","6","","793:00","642:52","150:08","65:08","205:55","1937","51:54"
"25/06/2021","C172","OH-COK","EFPR","EFPR","15:01Z","16:21Z","","","1:20","1:20","","","1:20","","1:20","self","4","","794:20","644:12","150:08","65:08","205:55","1941","53:14"
"01/07/2021","P28A","OH-PDP","EFHV","EFRY","11:35Z","12:05Z","","","0:30","0:30","","","0:30","","","self","1","","794:50","644:42","150:08","65:08","205:55","1942","53:14"
"01/07/2021","P28A","OH-PDP","EFRY","EFHV","12:37Z","13:06Z","","","0:29","0:29","","","0:29","","","self","1","","795:19","645:11","150:08","65:08","205:55","1943","53:14"
