"Date","Aircraft_Type","Aircraft_Reg","Departure","Arrival","Off_Block","On_Block","Takeoff","Landing","Block_Time","Total_Time","Instrument_Time","Night_Time","PIC_Time","Student_Time","Instructor_Time","pic_name","Landings","Remarks","Cumulative_Total","Cumulative_PIC","Cumulative_Student","Cumulative_Instrument","Cumulative_SEP_Sea","Cumulative_Landings","Cumulative_Instructor"
"23/04/2017","P28A","OH-PDP","EFLA","EFHF","15:00","15:47","","","0:47","0:47","","","0:47","","","self","1","","395:49","312:42","83:07","3:12","58:39","889",""
"28/04/2017","P28A","OH-PDP","EFHF","EFRY","12:27","13:15","","","0:48","0:48","","","0:48","","","self","1","","396:37","313:30","83:07","3:12","58:39","890",""
"28/04/2017","P28A","OH-PDP","EFHF","EFRY","13:25","14:12","","","0:47","0:47","","","0:47","","","self","1","","397:24","314:17","83:07","3:12","58:39","891",""
"30/04/2017","P28A","OH-PDP","EFHF","EFLA","15:41","16:29","","","0:48","0:48","","","0:48","","","self","1","","398:12","315:05","83:07","3:12","58:39","892",""
"30/04/2017","P28A","OH-PDP","EFLA","EFHF","16:53","17:43","","","0:50","0:50","","","0:50","","","self","1","","399:02","315:55","83:07","3:12","58:39","893",""
"01/05/2017","P28A","OH-PDP","EFHF","EFHV","07:32","08:07","","","0:35","0:35","","","0:35","","","self","1","","399:37","316:30","83:07","3:12","58:39","894",""
"01/05/2017","P28A","OH-PDP","EFHV","EFHF","12:02","12:36","","","0:34","0:34","","","0:34","","","self","1","","400:11","317:04","83:07","3:12","58:39","895",""
"04/05/2017","C172","OH-CTL","Tullisaaren salmi","Tullisaaren salmi","12:20","13:20","","","1:00","1:00","","","1:00","","","self","6","","401:11","318:04","83:07","3:12","59:39","901",""
"05/05/2017","C172","OH-CTL","Tullisaaren salmi","Kabböle","06:19","07:12","","","0:53","0:53","","","0:53","","","self","3","","402:04","318:57","83:07","3:12","60:32","904",""
"12/05/2017","C172","OH-CTL","Tuusula","Tuusula","15:22","16:09","","","0:47","0:47","","","0:47","","","self","2","","402:51","319:44","83:07","3:12","61:19","906",""
"14/05/2017","P28A","OH-PDP","EFHF","EFHF","16:56","17:46","","","0:50","0:50","","","0:50","","","self","1","","403:41","320:34","83:07","3:12","61:19","907",""
"16/05/2017","C172","OH-CTL","Tuusula","Keilaniemi","03:51","04:34","","","0:43","0:43","","","0:43","","","self","2","","404:24","321:17","83:07","3:12","62:02","909",""
"16/05/2017","C172","OH-CTL","Keilaniemi","Tuusula","13:41","14:25","","","0:44","0:44","","","0:44","","","self","2","","405:08","322:01","83:07","3:12","62:46","911",""
"17/05/2017","C172","OH-CTL","Tuusula","Salonsaari","11:06","12:07","","","1:01","1:01","","","1:01","","","self","2","","406:09","323:02","83:07","3:12","63:47","913",""
"19/05/2017","C172","OH-CTL","Salonsaari","Tuusula","13:39","14:37","","","0:58","0:58","","","0:58","","","self","1","","407:07","324:00","83:07","3:12","64:45","914",""
"21/05/2017","C185","OH-CDK","Tuusula","Hauhonselkä","10:45","12:05","","","1:20","1:20","","","","1:20","","Jansson","1","","408:27","324:00","84:27","3:12","66:05","915",""
"21/05/2017","C185","OH-CDK","Vesijärvi","Salonsaari","12:46","13:06","","","0:20","0:20","","","","0:20","","Jansson","1","","408:47","324:00","84:47","3:12","66:25","916",""
"21/05/2017","P28A","OH-TIL","EFLA","EFHF","15:43","16:37","","","0:54","0:54","","","0:54","","","self","1","","409:41","324:54","84:47","3:12","66:25","917",""
"26/05/2017","P28A","OH-PDP","EFHF","EFRY","09:05","10:01","","","0:56","0:56","","","0:56","","","self","1","","410:37","325:50","84:47","3:12","66:25","918",""
"26/05/2017","P28A","OH-PDP","EFRY","EFHF","10:37","11:55","","","1:18","1:18","","","1:18","","","self","1","","411:55","327:08","84:47","3:12","66:25","919",""
"27/05/2017","P28A","OH-PDP","EFHF","EFHF","13:10","14:13","","","1:03","1:03","","","1:03","","","self","4","","412:58","328:11","84:47","3:12","66:25","923",""
"30/05/2017","C172","OH-CTL","Tuusulanjärvi","Keilalahti","04:53","05:58","","","1:05","1:05","","","1:05","","","self","4","","414:03","329:16","84:47","3:12","67:30","927",""
